make,transmission,state,condition,odometer,auction_value,selling_price
toyota,automatic,tn,3.8,,,12000.0
ford,automatic,nv,4,44260.0,16750.0,17700.0
chevrolet,,ca,3.2,59364.0,8800.0,9000.0
chevrolet,automatic,fl,,10390.0,12300.0,12600.0
dodge,,oh,4.4,44600.0,,14800.0
ford,automatic,fl,3.7,13354.0,28300.0,26500.0
nissan,automatic,il,3.9,35081.0,12450.0,14600.0
kia,automatic,nc,4.3,34447.0,11500.0,11700.0
honda,automatic,nj,4.4,35938.0,18250.0,17700.0
dodge,automatic,mi,,80997.0,6150.0,4800.0
ford,automatic,md,4,84271.0,10800.0,10500.0
dodge,automatic,il,3,24973.0,17000.0,14400.0
,automatic,ny,4.9,20667.0,22300.0,24200.0
,,az,4.2,72703.0,10500.0,10200.0
nissan,automatic,tx,4.4,31794.0,13650.0,14400.0
